,"Title","Date","Author Keywords"
368,"Images don’t lie: Duplicate crowdtesting reports detection with screenshot information ","2019/06/01","Crowdtesting,Duplicate report,Similarity detection"
369,"Bridging multimedia heterogeneity gap via Graph Representation Learning for cross-modal retrieval ","2021/02/01","Cross-modal retrieval,Common space learning,Cross-modal graph,Graph representation learning network,Feature transfer learning network,Graph embedding"
370,"Internet cross-media retrieval based on deep learning ","2017/10/01","Cross-media retrieval,Deep learning,Feature extracting,Multimedia information"
371,"tcc2vec: RFM-informed representation learning on call graphs for churn prediction ","2021/05/01",0
372,"Using an EfficientNet-LSTM for the recognition of single Cow’s motion behaviours in a complicated environment ","2020/10/01","Behaviour recognition,Cow,EfficientNet,BiFPN,LSTM"
373,"Real web community based automatic image annotation ","2013/04/01",0
374,"Image color harmony modeling through neighbored co-occurrence colors ","2016/08/12","LDA,Color harmony,Esthetics,Linear regression"
375,"A deep semantic search method for random tweets ","2019/09/01","Deep learning,Semantic search,Tweets,Twitter,Information search"
376,"Generalized fused group lasso regularized multi-task feature learning for predicting cognitive outcomes in Alzheimers disease ","2018/08/01","Alzheimer’s disease,Regression,Multi-task learning,Sparse learning,Group lasso,Fused lasso,Biomarker identification"
377,"Associative memory optimized method on deep neural networks for image classification ","2020/09/01",0
378,"FSS-GCN: A graph convolutional networks with fusion of semantic and structure for emotion cause analysis ","2021/01/05","Emotion cause analysis,Inter-clause dependency,Structural information,Graph convolutional networks"
379,"Hierarchical deep multi-modal network for medical visual question answering ","2021/02/01","Visual Question Answering,Neural Networks,Medical Domain,Support Vector Machine,Gated Recurrent Units"
380,"Automatic classification of free-text medical causes from death certificates for reactive mortality surveillance in France ","2019/11/01","Abbreviations,CépiDc,epidemiology center on medical causes of death,EDRS,Electronic Death Registration System,ICD10,International Classification of Diseases 10th revision,MSG,Mortality Syndromic Group,NLP,Natural Language Processing,OOV,out-of-vocabulary,SVM,Support Vector Machine,WHO,World Health Organization,Automatic classification,Rule-based method,SVM,Evaluation performance,Medical causes of death,Syndromic surveillance"
381,"Convolutional neural network: Deep learning-based classification of building quality problems ","2019/04/01","Building quality complaints,Text classification,Convolutional neural network,Deep learning"
382,"Frame Semantics guided network for Abstractive Sentence Summarization ","2021/06/07","Abstractive Sentence Summarization,Frame semantics selection,Frame semantics integration,Neural network"
383,"CapsCarcino: A novel sparse data deep learning tool for predicting carcinogens ","2020/01/01","Deep learning,Carcinogenicity,Predictive classifier,Capsule network,Computational toxicology"
384,"Directional adversarial training for cost sensitive deep learning classification applications ","2020/05/01","Adversarial training,Artificial intelligence,Cost-sensitive,Deep learning,Image classification,Optimal transport,Wasserstein"
385,"Machine learning techniques for hate speech classification of twitter data: State-of-the-art, future challenges and research directions ","2020/11/01","Twitter data stream,Hate speech,Detection,Fuzzy logic,Bayesian network,Combinatorial algorithm"
386,"Recent Progresses of Computational Analysis of RNA-Protein Interactions ","2021/01/01",0
387,"Literature Listing ","2021/03/01","Patents,Designs,Trade marks,Literature listing,Patent analysis,Current awareness"
388,"Technology of Supporting Medical Decision-Making Using Evidence-Based Medicine and Artificial Intelligence ","2020/01/01","medical decision support systems,evidence-based medicine,intellectual systems,text mining"
389,"Wide-grained capsule network with sentence-level feature to detect meteorological event in social network ","2020/01/01","MSC,00-01,99-00,Meteorological event detection,Fine-tuned BERT,Wide-grained capsule network,SFMED model"
390,"Explicit song lyrics detection with subword-enriched word embeddings ","2021/01/01","Word embeddings,Text classification,Explicit content detection"
391,"Sentiment analysis of extremism in social media from textual information ","2020/05/01","Extremism,Multilingual,Lexicons,Multinomial Naïve Bayes Linear Support Vector Classifier"
392,"Bi-directional skip connection feature pyramid network and sub-pixel convolution for high-quality object detection ","2021/06/14","Object detection,Feature pyramid networks,Dilated convolution,Sub-pixel convolution,Bi-directional skip connection"
393,"A cross-region transfer learning method for classification of community service cases with small datasets ","2020/04/06","Community service,Case classification,Small datasets,Transfer learning,Domain adaptation"
394,"Literature listing ","2013/03/01",0
395,"A flexible testing environment for visual question answering with performance evaluation ","2018/05/24","Data environment,Deep learning,Visual Question Answering"
396,"Clinical text classification research trends: Systematic literature review and open issues ","2019/02/01","Clinical text classification,Feature engineering,Supervised machine learning,Rule-based text classification,Performance metrics"
397,"Knowledge base population using semantic label propagation ","2016/09/15","Relation extraction,Knowledge base population,Distant supervision,Active learning,Semi-supervised learning"
398,"Transfer learning for process fault diagnosis: Knowledge transfer from simulation to physical processes ","2020/08/04","Fault diagnosis,Transfer learning,Model-process mismatch,Deep learning,Computer simulation,Domain adaptation"
399,"ANU-Net: Attention-based nested U-Net to exploit full resolution features for medical image segmentation ","2020/08/01","Attention mechanism,Nested U-Net,Medical image segmentation,Model pruning"
400,"Combining Lexical and Semantic Features for Short Text Classification ","2013/01/01","Short text,Topic model,Wikipedia,Feature selection"
401,"Multi-class twitter data categorization and geocoding with a novel computing framework ","2020/01/01","Social media,New York,Traffic operation,Short-term planning,Machine learning,Traffic management policy"
402,"Tumor Phylogeny Topology Inference via Deep Learning ","2020/11/20","Subject Areas,Bioinformatics,Phylogenetics,Cancer"
403,"Recurrent transform learning ","2019/10/01","Demand forecasting,Dynamical model,Load forecasting,Transform learning"
404,"Synergistic approach to quantifying information on a crack-based network in loess/water material composites using deep learning and network science ","2019/08/01","Crack detection,Complex networks,Deep learning,Convolutional neural networks"
405,"A gated piecewise CNN with entity-aware enhancement for distantly supervised relation extraction ","2020/11/01","Distant supervision,Relation extraction,PCNN,Multi-head self-attention,Gate mechanism"
406,"FNDNet – A deep convolutional neural network for fake news detection ","2020/06/01","Fake news,Social media,Machine learning,Deep learning,Neural network"
407,"iMotor-CNN: Identifying molecular functions of cytoskeleton motor proteins using 2D convolutional neural network via Chou's 5-step rule ","2019/06/15","Cytoskeletal filaments,Protein function prediction,Dynein and kinesin,Myosin light chain,Deep learning,Position specific scoring matrix"
408,"Identification of non-functional requirements in textual specifications: A semi-supervised learning approach ","2010/04/01","Non-functional requirements,Requirement classification,Semi-supervised text learning"
409,"SPBC: A self-paced learning model for bug classification from historical repositories of open-source software ","2021/04/01","Bug triaging,Defect localization,Self-paced learning,Bug report analysis,Bug classification"
410,"Unsupervised feature selection algorithm for multiclass cancer classification of gene expression RNA-Seq data ","2020/03/01",0
411,"Random forest for label ranking ","2018/12/01","Preference learning,Label ranking,Random forest,Decision tree"
412,"A multi-user perspective for personalized email communities ","2016/07/15","Graph clustering,Community detection,Collaborative similarity,K-Medoid clustering,Entropy,Density,F-measure,Personalized,Multi-user,Email network,Social media,PI-Net"
413,"A descriptive framework for the field of deep learning applications in medical images ","2020/12/27","Medical image,Deep learning,Descriptive framework,LDA,Application,Survey"
414,"The CORTEX cognitive robotics architecture: Use cases ","2019/06/01","Cognitive robotics,Robot control architectures"
415,"Representation Learning and Predictive Classification: Application with an Electric Arc Furnace ","2021/03/26","Process Monitoring and Diagnostics,Machine Learning,Deep Learning,Process Control,Inferential Sensor,Applications"
416,"Minimizer of the Reconstruction Error for multi-class document categorization ","2014/02/15","Document categorization,Text mining,Dimensionality reduction,Principal Component Analysis"
417,"Hierarchy construction and text classification based on the relaxation strategy and least information model ","2018/06/15","Hierarchy classification,Relaxation strategy,Least Information Theory,Term weighting"
418,"Weakly and semi supervised detection in medical imaging via deep dual branch net ","2021/01/15","Weakly supervised detection,Semi-supervised detection,Deep learning,Abnormality detection,Mammography,Breast radiology"
419,"Multi-target prediction of wheat flour quality parameters with near infrared spectroscopy ","2020/06/01","Random forest,Support Vector Machine,Near-infrared spectroscopy,Machine learning,MTRS,DSTARS,Partial Least Squares,ERC"
420,"Rough set based incremental crime report labelling in dynamic environment ","2019/12/01","Rough set theory,Indiscernibility relation,Reduct,Graph based clustering,Crime report labelling,Incremental technique"
421,"Analysis and detection on long-time quasi-periodic communication behavior of network applications ","2012/10/01","traffic monitoring,always online,long-time quasi-periodic,inter packet group time,machine learning"
422,"Computation offloading in Edge Computing environments using Artificial Intelligence techniques ","2020/10/01","Artificial Intelligence,Computation offloading,Edge Computing,Machine Learning"
423,"Multi-path x-D recurrent neural networks for collaborative image classification ","2020/07/15","RNN,Longitudinal,Unordered image,Category-irrelevant attributes"
424,"Automatic classification of RDoC positive valence severity with a neural network ","2017/11/01","Positive valance,Mental disorder severity,Text classification,Research domain criteria (RDoC),Machine learning"
425,"Classifying online Job Advertisements through Machine Learning ","2018/09/01","Machine learning,Text classification,Big data,NLP"
426,"Fireground location understanding by semantic linking of visual objects and building information models ","2017/07/01","Building information models,Fire analysis,Multi-view sensing,Location estimation,Visual object recognition,Semantic linking"
427,"An evaluation study on text categorization using automatically generated labeled dataset ","2017/08/02","Text mining,Text categorization,Machine learning,Evaluation,Feature selection,Benchmark collection"
428,"Sensitivity analysis on initial classifier accuracy in fuzziness based semi-supervised learning ","2019/07/01",0
429,"Deep Learning in Medical Ultrasound Analysis: A Review ","2019/04/01","Deep learning,Medical ultrasound analysis,Classification,Segmentation,Detection"
430,"A survey on deep learning in medicine: Why, how and when? ","2021/02/01","Deep learning,Medicine,Artificial intelligence,Data science,Neural networks"
431,"Active learning for text classification with reusability ","2016/03/01","Active learning,Machine learning,Reusability problem,Text classification"
432,"Knowledge-enhanced document embeddings for text classification ","2019/01/01","Semantic representation,Document embeddings,Text classification,Text mining"
433,"Towards a language-independent solution: Knowledge base completion by searching the Web and deriving language pattern ","2017/01/01","Knowledge base completion,Language pattern,Language-independent solution"
434,"Multi-view low-rank matrix factorization using multiple manifold regularization ","2019/03/28","Hypergraph learning,Low-rank,Multi-view,Sparse representation"
435,"Grounding semantic categories in behavioral interactions: Experiments with 100 objects ","2014/05/01","Semantic perception,Active and interactive perception,Category recognition,Learning and adaptive system,Behavior-based robotics,Developmental robotics"
436,"Improved Long Short-Term Memory based anomaly detection with concept drift adaptive method for supporting IoT services ","2020/11/01","Smart city,Quality of service,Anomaly detection,Concept drift adaptive method,Long Short-Term Memory"
437,"Discovering themes and trends in transportation research using topic modeling ","2017/04/01","Transportation research,Topic modeling,Publication data,Research policy"
438,"Music Mining ","2014/01/01",0
439,"CycleMatch: A cycle-consistent embedding network for image-text matching ","2019/09/01","Image-text matching,Embedding,Deep neural networks,Late-fusion inference"
440,"Sentiment and emotion classification over noisy labels ","2016/11/01","Hidden de-noising classification model,Sentiment analysis,Emotion detection,Noisy label"
441,"Quantitative knowledge presentation models of traditional Chinese medicine (TCM): A review ","2020/03/01","TCM,Quantitative model,Research progress,Yin-Yang Wu-Xing,Patterns of TCM prescriptions,Data mining"
442,"An ensemble-based hotel recommender system using sentiment analysis and aspect categorization of hotel reviews ","2021/01/01","Bidirectional Encoder Representations from Transformers,Categorization,Ensemble,Fuzzy,Hotel reviews,Random Forest classifier,Recommender system,Sentiment analysis"
443,"Text categorization algorithms using semantic approaches, corpus-based thesaurus and WordNet ","2012/01/01","Text categorization,Corpus-based thesaurus,WordNet,k,-NN,BPNN,Neural network"
444,"Using machine learning approaches for multi-omics data analysis: A review ","2021/03/29","Multi-omics,Machine Learning,Predictive Modelling,Supervised Learning,Unsupervised Learning,Systems Biology,Abbreviations,ATHENA,Analysis Tool for Heritable and Environmental Network Associations,BCC,Bayesian consensus clustering,BN,Bayesian Network,CS,Concatenation-based Supervised Learning,CU,Concatenation-based Unsupervised Learning,DNA,Deoxyribo-Nucleic Acid,FCA,Formal Concept Analysis,FDA,Food and Drug Administration,fMKL-DR,fast multiple kernel learning for dimensionality reduction,FSMKL,Multiple Kernel Learning with Feature Selection,HI-DFNForest,Hierarchical integration deep flexible neural forest,JBF,Joint Bayes Factor,JIVE,Joint and Individual Variation Explained,KNN,k-nearest neighbors,LASSO,Least Absolute Shrinkage and Selection Operator,LDA,Linear Discriminant Analysis,lncRNAs,long non-coding RNAs,MDI,Multiple Dataset Integration,MDS,Multi-Dimensional Scaling,Meta-SVM,Meta-analytic SVM,miRNA,microRNA,ML,Machine Learning,MOFA,Multi-Omics Factor Analysis,MOLI,Multi-omics late integration,MORONET,Multi-Omics gRaph cOnvolutional NETworks,MOSAE,Multi-omics Supervised Autoencoder,mRNA,messenger Ribo-Nucleic Acid,MS,Model-based Supervised Learning,MU,Model-based Unsupervised Learning,NEMO,NEighborhood based Multi-Omics clustering,NMF,Non-negative Matrix Factorisation,PCA,Principal Component Analysis,PINS,Perturbation clustering for data integration and disease subtyping,PSDF,Patient-Specific Data Fusion,RF,Random Forest,rMKL-LPP,regularised multiple kernel learning for Locality Preserving Projections,RVM,Relevance Vector Machine,SDP-SVM,Semi-Definite Programming SVM,SmSPK,smoothed shortest path graph kernel,SNF,Similarity Network Fusion,SSL,Semi-supervised learning,SVM,Support Vector Machine,SVR,Support vector regression,TS,Transformation-based Supervised Learning,TU,Transformation-based Unsupervised Learning"
445,"Multilingual opinion mining on YouTube – A convolutional N-gram BiLSTM word embedding ","2018/05/01","Sentiment analysis,Multilingual opinion mining,Convolutional,N-gram word embedding,BiLSTM"
446,"Holistic object detection and image understanding ","2019/04/01","MSC,41A05,41A10,65D05,65D17,Computer vision,Image representation,Object detection"
447,"Deep feature augmentation for occluded image classification ","2021/03/01","Deep feature augmentation,Image occlusion,Convolutional neural networks,Image classification"
448,"Automated classification and localization of daily deal content from the Web ","2015/06/01","Web classification,Segmentation,Information extraction"
449,"Computational predictive approaches for interaction and structure of aptamers ","2020/07/21","Aptamer,Interaction prediction,Structure prediction,Affinity,Machine learning"
450,"Enhancing semantic image retrieval with limited labeled examples via deep learning ","2019/01/01","Semantic image retrieval,Semi-supervised learning,Convolutional neural networks,Concept-based image retrieval"
451,"Complex epilepsy phenotype extraction from narrative clinical discharge summaries ","2014/10/01","Epilepsy,Information extraction,Cohort identification"
452,"Toward any-language zero-shot topic classification of textual documents ","2019/09/01","Multilingual text classification,Cross-lingual text classification,Zero-shot text classification,Semantic Supervision"
453,"MVDF-RSC: Multi-view data fusion via robust spectral clustering for geo-tagged image tagging ","2021/07/01","Multi-view spectral clustering,Image annotation,Geo-tagged photos,Image tagging,Recommender systems,Geographical information"
454,"Patients’ involvement in e-health services quality assessment: A system for the automatic interpretation of SMS-based patients’ feedback ","2014/10/01","e-Health,Patients’ feedback,Health service assessment,SMS,Information extraction,Conditional random fields"
455,"Cross-organism learning method to discover new gene functionalities ","2016/04/01","Biomolecular annotation prediction,Knowledge discovery,Data representation,Discrete matrix completion,Transfer learning,Gene ontology"
456,"BG-SAC: Entity relationship classification model based on Self-Attention supported Capsule Networks ","2020/06/01","Entity relationship classification,Self-Attention mechanism,Capsule Networks,Dynamic routing algorithm"
457,"ZiMM: A deep learning model for long term and blurry relapses with non-clinical claims data ","2020/10/01","Deep learning,Mixture models,Zero-inflation,Electronic health records,Claims datasets,EHR data"
458,"Assigning clinical codes with data-driven concept representation on Dutch clinical free text ","2017/05/01","Clinical coding,Data mining,Text mining,Unsupervised learning,International classification of diseases,Electronic health records,Distributional semantics,Word2vec"
459,"Mining activation force defined dependency patterns for relation extraction ","2015/09/01","Relation extraction,Pattern learning,Trigger word,Activation force"
460,"Semantic-filtered Soft-Split-Aware video captioning with audio-augmented feature ","2019/09/10","Video captioning,LSTM,Feature extraction,Semantic concept,Video structure"
461,"Featured correspondence topic model for semantic search on social image collections ","2017/07/01","Image retrieval,Image annotation,Social image tagging,Topic modeling,Probabilistic graphical model"
462,"Multiple topic identification in human/human conversations ","2015/11/01","Human/human conversation analysis,Multi-topic identification,Spoken language understanding,Interpretation strategies"
463,"Semi-supervised multi-view clustering with Graph-regularized Partially Shared Non-negative Matrix Factorization ","2020/02/29","Graph-regularization,Semi-supervised learning,Multi-view clustering,Non-negative matrix factorization"
464,"Enhancing Aspect-Based Sentiment Analysis of Arabic Hotels’ reviews using morphological, syntactic and semantic features ","2019/03/01","Aspect-based sentiment analysis,Supervised machine learning,Arabic reviews,Hotels’ reviews"
465,"Attention gated networks: Learning to leverage salient regions in medical images ","2019/04/01","Fully convolutional networks,Image classification,Localisation,Segmentation,Soft attention,Attention gates"
466,"Knowledge representation learning with entity descriptions, hierarchical types, and textual relations ","2019/05/01","Knowledge representation,Multi-source,Textual information"
467,"An Analysis of Overlapping Community Detection Algorithms in Social Networks ","2016/01/01","Community Detection,Modularity,Overlapping Community,Social Network,Social Network Mining"
468,"Summary of Product Characteristics content extraction for a safe drugs usage ","2012/04/01","Information extraction,Conditional random fields,Support vector machines,Adverse drug events,Medication errors,Summary of Product Characteristics"
469,"A framework to analyze the emotional reactions to mass violent events on Twitter and influential factors ","2020/11/01","Deep learning,Emotion analysis,Mass shooting,Twitter"
470,"A survey of the applications of text mining in financial domain ","2016/12/15","Text mining,Financial applications,FOREX rate prediction,Stock market prediction,Customer relationship management,Cyber security"
471,"Efficient implementation of associative classifiers for document classification ","2007/03/01","Text classification,Associative classifier,Feature selection,Rule pruning,Subset expansion"
472,"Wikipedia-based cross-language text classification ","2017/09/01",0
473,"A system for the extraction and representation of summary of product characteristics content ","2013/02/01","Information extraction,Conditional random fields,Ontology,Summary of product characteristics,Adverse drug events,Medication errors"
474,"Automated triaging of very large bug repositories ","2017/09/01","Automated triaging,Bug tracking,Big data analytics,Software problem repositories"
475,"Combining factor analysis with writing analytics for the formative assessment of written reflection ","2021/07/01","Reflection assessment,Writing analytics,Factor analysis"
476,"A novel natural language steganographic framework based on image description neural network ","2019/05/01","Natural language steganography,Image description,Neural network,Embedding capacity,BLEU,Perplexity"
477,"A method for mixed data classification base on RBF-ELM network ","2021/03/28","Mixed data classification,Distance metric,Density peaks clustering (DPC),Radial basis function (RBF),Extreme learning machine (ELM)"
478,"Compact class-conditional domain invariant learning for multi-class domain adaptation ","2021/04/01","Domain adaptation,Generalization bound,Class-conditional domain invariant learning,PAC learning complexity,Transfer Learning"
479,"Autonomous agents modelling other agents: A comprehensive survey and open problems ","2018/05/01","Autonomous agents,Multiagent systems,Modelling other agents,Opponent modelling"
480,"Novel framework for image attribute annotation with gene selection XGBoost algorithm and relative attribute model ","2019/07/01","Image attribute annotation,Material attribute classification,Effective range-based gene selection,eXtreme gradient boosting,Relative attribute"
481,"Deep sequential fusion LSTM network for image description ","2018/10/27","Image description,Long short term memory network,Layer-wise optimization,Deep supervision,Deep sequential fusion"
482,"Two-dimensional subspace alignment for convolutional activations adaptation ","2017/11/01","Visual domain adaptation,Subspace alignment,Convolutional activations,Two-dimensional PCA,Domain divergence measure"
483,"Shape-Based Image Classification and Retrieval ","2013/01/01","shape retrieval,shape classification,naïve Bayes,LDA,SVM,relevance models"
484,"Distant supervision for neural relation extraction integrated with word attention and property features ","2018/04/01","Distant supervision,Neural relation extraction,Sentence encoding,Word- level attention,Supplementary feature"
485,"Multi-Instance Multi-Stage Deep Learning for Medical Image Recognition ","2017/01/01","CNN,Multi-instance,Multi-stage,Discriminative local information discovery"
486,"A review on web content popularity prediction: Issues and open challenges ","2019/07/01","Web content,Predictive modelling,Social media,Popularity,Evaluation"
487,"Localizing salient body motion in multi-person scenes using convolutional neural networks ","2019/02/22","Convolutional neural networks,Gestures,Computer vision,Detection,Localization,Saliency"
488,"Towards automatic encoding of medical procedures using convolutional neural networks and autoencoders ","2019/01/01","Automatic encoding,Deep learning,Classification system,Autoencoder,Convolutional neural networks"
489,"A probabilistic clustering model for hate speech classification in twitter ","2021/07/01","Twitter,Hate speech,Fuzzy logic,Combinatorial algorithm,Bayesian function,Sentiment analysis"
490,"Extracting temporal and causal relations based on event networks ","2020/11/01","Event extraction,Open information extraction,Event network,Temporal event,Causal event"
491,"Improving MeSH classification of biomedical articles using citation contexts ","2011/10/01","Citation contexts,Document expansion,Biomedical text classification,MeSH terms"
492,"On the role of linguistic descriptions of data in the building of natural language generation systems ","2016/02/15","Linguistic descriptions of data,Natural language generation,State of the art,Evaluation"
493,"Contents ","2016/01/01",0
494,"INDREX: In-database relation extraction ","2015/10/01","Iterative text mining in a RDBMS,Ad-hoc reports from text data,Information extraction"
495,"Literature listing ","2017/09/01","Patents,Designs,Trade marks,Literature listing,Patent analysis,Current awareness"
496,"A text semantic topic discovery method based on the conditional co-occurrence degree ","2019/11/27","Text mining,Topic discovery,Semantic information,Conditional co-occurrence degree"
497,"A comprehensive survey on support vector machine classification: Applications, challenges and trends ","2020/09/30","SVM,Classification,Machine learning"
498,"Deep learning models and datasets for aspect term sentiment classification: Implementing holistic recurrent attention on target-dependent memories ","2020/01/01","Aspect-based sentiment analysis,Sentiment classification,Deep learning,LSTM,GRU,Attention"
499,"Deep Learning for Aspect-Based Sentiment Analysis: A Comparative Review ","2019/03/15",0
500,"Application of deep learning for retinal image analysis: A review ","2020/02/01","Deep learning,Deep neural network,Convolutional neural network,Auto-encoder,Sparse stacked auto-encoder,De-noised sparse auto-encoder,Softmax,Random forest,Rectified linear unit,Hidden layers"
501,"Modeling healthcare data using multiple-channel latent Dirichlet allocation ","2016/04/01","Healthcare data mining,Health informatics,Multiple-channel latent Dirichlet allocation,Diagnosis–medication associations,Medication prediction,Diagnosis prediction"
502,"Lazy Generic Cuts ","2016/02/01","Markov random fields,Higher order potential,Graphical models,MRF-MAP,Optimal inference,Generic cuts"
503,"KSAP: An approach to bug report assignment using KNN search and heterogeneous proximity
 ","2016/02/01","Bug report assignment,Heterogeneous network,Heterogeneous proximity,Developer recommendation"
504,"A hybrid recommender system using artificial neural networks ","2017/10/15","Information retrieval,Artificial neural networks,Recommender systems,Supervised learning"
505,"Community detection in node-attributed social networks: A survey ","2020/08/01","community detection,social network,complex network,node-attributed graph,clusterization"
506,"Attribute relation learning for zero-shot classification ","2014/09/02","Attribute,Attribute relation,Zero-shot learning,Classification"
507,"Compact Integration of Multi-Network Topology for Functional Analysis of Genes ","2016/12/21","interactome analysis,network integration,heterogeneous networks,dimensionality reduction,network diffusion,gene function prediction,genetic interaction prediction,gene ontology reconstruction,drug response prediction"
508,"Beyond ASR 1-best: Using word confusion networks in spoken language understanding ","2006/10/01",0
509,"YAKE! Keyword extraction from single documents using multiple local features ","2020/01/01",0
510,"Ensemble machine learning models for aviation incident risk prediction ","2019/01/01","Air transportation,Deep learning,Support vector machine,System safety,Risk assessment"
511,"DeepRec: A deep neural network approach to recommendation with item embedding and weighted loss function ","2019/01/01",0
512,"An approach for adaptive associative classification ","2011/09/01","Associative classification,Frequent pattern mining,Co-training,Emerging frequent pattern,Maximum entropy model"
513,"A benchmark and comparison of active learning for logistic regression ","2018/11/01","Active learning,Logistic regression,Experimental design,Benchmark,Preference maps"
514,"Context-aware recommender systems in mobile environment: On the road of future research ","2017/12/01","Recommender systems,Mobile environment,Contextual factors,Recommendation process,Systematic review,Mobile context-aware recommender"
515,"Medical Images Analysis Based on Multilabel Classification ","2019/01/01","Multilabel classification,Machine learning,Medical image analysis,CAD system,Classification model"
516,"Learning contextualized semantics from co-occurring terms via a Siamese architecture ","2016/04/01","Contextualized semantics,Descriptive terms,Siamese architecture,Out of vocabulary,Semantic priming,Representation learning"
517,"Differential evolution for filter feature selection based on information theory and feature ranking ","2018/01/15","Mutual information,ReliefF,Fisher Score,differential evolution,feature selection"
518,"A New Feature Selection Method for Nominal Classifier based on Formal Concept Analysis ","2017/01/01","Supervised Classification,Formal Concept Analysis,Feature Selection Methods,Nominal Classifiers"
519,"A keyword-based combination approach for detecting phishing webpages ","2019/07/01","Heuristic rule,Machine learning,Phishing,Search engine,URL obfuscation techniques"
520,"Word co-occurrence features for text classification ","2011/07/01","Classification,Text mining,Feature extraction"
521,"Literature Listing ","2020/06/01","Patents,Designs,Trade marks,Literature listing,Patent analysis,Current awareness"
522,"A survey on the computation offloading approaches in mobile edge computing: A machine learning-based perspective ","2020/12/09","Computation offloading,Mobile edge computing,Machine learning,Reinforcement learning,Supervised learning,Unsupervised learning"
523,"Improving the quality of predictions using textual information in online user reviews ","2013/03/01","Text classification,User reviews,Social information filtering,Personalized recommendations,Probabilistic clustering"
524,"A novel active learning framework for classification: Using weighted rank aggregation to achieve multiple query criteria ","2019/09/01","Multiple query criteria active learning,Integration criteria strategy,Sample query criterion,Weighted rank aggregation"
525,"Relational intelligence recognition in online social networks — A survey ","2020/02/01","Social networks,Artificial intelligence,Deep learning,Pattern recognition,Ensembles"
526,"Hybrid fast unsupervised feature selection for high-dimensional data ","2019/06/15","Feature selection,High-dimensional data,Binary ant system,Clustering,Mutation"
527,"Optimizing area under the ROC curve via extreme learning machines ","2017/08/15","Extreme learning machine (ELM),Area under the ROC curve (AUC),Imbalanced datasets,Multi-class AUC optimization"
528,"A review on vision techniques applied to Human Behaviour Analysis for Ambient-Assisted Living ","2012/09/15","Human behaviour,Ambient-Assisted Living,Computer vision,Motion analysis,Action recognition,Activity recognition,Activities of daily living (ADLs)"
529,"Data-driven graph construction and graph learning: A review ","2018/10/27","Graph construction,Machine learning,Sparse representation,Low-rank representation,Multi-graph learning,Brain network"
530,"Vision-language integration using constrained local semantic features ","2017/10/01","Image classification,Image retrieval,Bi-modal classification,Semantic features,Concept-based sparsification,Constrained local regions,Vision-language integration,Common latent space,Pure concept space"
531,"Event-based media processing and analysis: A survey of the literature ","2016/09/01","Event-based media processing and analysis,Event conceptualization,Event representation and modeling,Multimedia event detection,Event-based applications and benchmarking,Survey of the literature"
532,"Privileged contextual information for context-aware recommender systems ","2016/09/15","Recommender systems,Topic hierarchy,Named entities,Domain terms,Contextual information,Context-aware recommender systems"
533,"Construction and evaluation of ontological tag trees
 ","2015/12/30","Tag tree,Local search,Optimization,Tag prediction,Classification"
534,"Emotion recognition using multi-modal data and machine learning techniques: A tutorial and review ","2020/07/01","Emotion recognition,Affective computing,Physiological signals,Feature dimensionality reduction,Data fusion,Machine learning,Deep learning"
535,"Literature listing ","2017/03/01","Patents,Designs,Trade marks,Literature listing,Patent analysis,Current awareness"
536,"Data mining applications in accounting: A review of the literature and organizing framework ","2017/02/01","Data mining,Accounting,Literature review,Framework,Prospective,Retrospective"
537,"A comparative analysis of machine learning models for quality pillar assessment of SaaS services by multi-class text classification of users’ reviews ","2019/12/01","SaaS,Quality pillars,User reviews,Text classification,Machine learning approaches"
538,"Semantic networks ","1992/01/01",0
539,"Clinical Research (Observations, Pathophysiology & Outcomes) ","2015/05/01",0
